---,ID,NPC_ID,Conversation_ID,Line_ID,SubLine_ID,TargetLine_ID,Camera_ID,Monologue
1,1,8,0,1,0,-1,0,"Odejdź, nie rozmawiam z byle kim."
2,2,8,1,1,0,0,1,"Witaj, kim jesteś?"
3,3,8,1,2,0,0,0,"Myśliwym. Pilnuje żeby dzikie zwierzęta nie wchodziły na teren wioski. Teraz się jakoś tych kocurów namnożyło, że szkoda gadać…"
4,4,8,1,3,0,0,0,
5,5,8,1,3,1,4,0,Mogę ci jakoś pomóc?
6,6,8,1,3,2,10,0,Co słychać?
7,7,8,1,3,3,13,0,Bywaj.
8,8,8,1,4,0,0,1,Mogę ci jakoś pomóc?
9,9,8,1,5,0,0,0,"W lesie na zachód od wsi grasuje stado pum, zabij je, wynagrodzę ci to."
10,10,8,1,5,1,6,0,"Nie ma sprawy, zajmę się tym."
11,11,8,1,5,2,8,0,Nie mam czasu teraz biegać za dzikimi zwierzętami.
12,12,8,1,6,0,0,1,"Nie ma sprawy, zajmę się tym."
13,13,8,1,7,0,-1,0,"Dzięki, wróć do mnie gdy załatwisz sprawę."
14,14,8,1,8,0,0,1,Nie mam czasu teraz biegać za dzikimi zwierzętami.
15,15,8,1,9,0,-1,0,Nikt nie ma czasu.
16,16,8,1,10,0,0,1,Co słychać?
17,17,8,1,11,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
18,18,8,1,12,0,3,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
19,19,8,1,13,0,0,1,Bywaj.
20,20,8,1,14,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
21,21,8,2,1,0,0,0,Czego chcesz?
22,22,8,2,2,0,0,0,
23,23,8,2,2,1,3,0,Co do tych dzikich zwierząt.
24,24,8,2,2,2,8,0,Co słychać?
25,25,8,2,2,3,11,0,Bywaj.
26,26,8,2,3,0,0,1,Co do tych dzikich zwierząt.
27,27,8,2,4,0,0,0,Tak?
28,28,8,2,4,1,5,0,Zajmę się tym.
29,29,8,2,4,2,7,0,Muszę już iść.
30,30,8,2,5,0,0,1,Zajmę się tym.
31,31,8,2,6,0,-1,0,"Dzięki, wróć do mnie gdy załatwisz sprawę."
32,32,8,2,7,0,-1,1,Muszę już iść.
33,33,8,2,8,0,0,1,Co słychać?
34,34,8,2,9,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
35,35,8,2,10,0,2,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
36,36,8,2,11,0,0,1,Bywaj.
37,37,8,2,12,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
38,38,8,3,1,0,0,0,Czego chcesz?
39,39,8,3,2,0,0,0,
40,40,8,3,2,1,3,0,Co do tych dzikich zwierząt.
41,41,8,3,2,2,7,0,Co słychać?
42,42,8,3,2,3,10,0,Bywaj.
43,43,8,3,3,0,0,1,Co do tych dzikich zwierząt.
44,44,8,3,4,0,0,0,Tak?
45,45,8,3,5,0,0,1,Jeszcze się ich nie pozbyłam.
46,46,8,3,6,0,2,0,Pośpiesz się sołtys mi marudzi że już dawno powinienem się tym zająć.
47,47,8,3,7,0,0,1,Co słychać?
48,48,8,3,8,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
49,49,8,3,9,0,3,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
50,50,8,3,10,0,0,1,Bywaj.
51,51,8,3,11,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
52,52,8,4,1,0,0,0,Czego chcesz?
53,53,8,4,2,0,0,0,
54,54,8,4,2,1,3,0,Co do tych dzikich zwierząt.
55,55,8,4,2,2,7,0,Co słychać?
56,56,8,4,2,3,10,0,Bywaj.
57,57,8,4,3,0,0,1,Co do tych dzikich zwierząt.
58,58,8,4,4,0,0,0,Tak?
59,59,8,4,5,0,0,1,Już nie będą niepokoić mieszkańców.
60,60,8,4,6,0,-1,0,"Wspaniale, oto twoja zapłata. To wszystko co mogę ci zaoferować."
61,61,8,4,7,0,0,1,Co słychać?
62,62,8,4,8,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
63,63,8,4,9,0,2,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
64,64,8,4,10,0,0,1,Bywaj.
65,65,8,4,11,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
66,66,8,5,1,0,0,0,Czego chcesz?
67,67,8,5,2,0,0,0,
68,68,8,5,2,1,3,0,Co słychać?
69,69,8,5,2,2,6,0,Bywaj.
70,70,8,5,3,0,0,1,Co słychać?
71,71,8,5,4,0,0,0,"A daj spokój, brama zamknięta, to nie ma kto przyjść nam pomóc. A co ja zrobię sam? Magii nie używam, widłami dużo nie zdziałam, a tych kotów coraz więcej. Jeszcze się jakiś potwór w kopalni ostatnio pojawił."
72,72,8,5,5,0,2,0,"Ja nie głupi, zabić się nie dam i tak ostatnio cudem przeżyłem, zaatakowany w biały dzień. A straż zamiast stać i marudzić, wzięłaby się do roboty i pomogła w wiosce."
73,73,8,5,6,0,0,1,Bywaj.
74,74,8,5,7,0,-1,0,Ja też teraz nie mam czasu na dłuższe rozmowy.
75,75,,,,,,,
76,76,,,,,,,
77,77,,,,,,,
78,78,,,,,,,
79,79,,,,,,,
80,80,,,,,,,
81,81,,,,,,,
82,82,,,,,,,
83,83,,,,,,,
84,84,,,,,,,
85,85,,,,,,,
86,86,,,,,,,
87,87,,,,,,,
88,88,,,,,,,
89,89,,,,,,,
90,90,,,,,,,
91,91,,,,,,,
92,92,,,,,,,
93,93,,,,,,,
94,94,,,,,,,
95,95,,,,,,,
96,96,,,,,,,
97,97,,,,,,,
98,98,,,,,,,
99,99,,,,,,,
100,100,,,,,,,
101,101,,,,,,,
102,102,,,,,,,
103,103,,,,,,,
104,104,,,,,,,
105,105,,,,,,,
106,106,,,,,,,
107,107,,,,,,,
108,108,,,,,,,
109,109,,,,,,,
110,110,,,,,,,
111,111,,,,,,,
112,112,,,,,,,
113,113,,,,,,,
114,114,,,,,,,
115,115,,,,,,,
116,116,,,,,,,
117,117,,,,,,,
118,118,,,,,,,
119,119,,,,,,,
120,120,,,,,,,
121,121,,,,,,,
122,122,,,,,,,
123,123,,,,,,,
124,124,,,,,,,
125,125,,,,,,,
126,126,,,,,,,
127,127,,,,,,,
128,128,,,,,,,
129,129,,,,,,,
130,130,,,,,,,
131,131,,,,,,,
132,132,,,,,,,
133,133,,,,,,,
134,134,,,,,,,
135,135,,,,,,,
136,136,,,,,,,
137,137,,,,,,,
138,138,,,,,,,
139,139,,,,,,,
140,140,,,,,,,
141,141,,,,,,,
142,142,,,,,,,
143,143,,,,,,,
144,144,,,,,,,
145,145,,,,,,,
146,146,,,,,,,
147,147,,,,,,,
148,148,,,,,,,
149,149,,,,,,,
150,150,,,,,,,
151,151,,,,,,,
152,152,,,,,,,
153,153,,,,,,,
154,154,,,,,,,
155,155,,,,,,,
156,156,,,,,,,
157,157,,,,,,,
158,158,,,,,,,
159,159,,,,,,,
160,160,,,,,,,
161,161,,,,,,,
162,162,,,,,,,
163,163,,,,,,,
164,164,,,,,,,
165,165,,,,,,,
166,166,,,,,,,
167,167,,,,,,,
168,168,,,,,,,
169,169,,,,,,,
170,170,,,,,,,
171,171,,,,,,,
172,172,,,,,,,
173,173,,,,,,,
174,174,,,,,,,
175,175,,,,,,,
176,176,,,,,,,
177,177,,,,,,,
178,178,,,,,,,
179,179,,,,,,,
180,180,,,,,,,
181,181,,,,,,,
182,182,,,,,,,
183,183,,,,,,,
184,184,,,,,,,
185,185,,,,,,,
186,186,,,,,,,
187,187,,,,,,,
188,188,,,,,,,
189,189,,,,,,,
190,190,,,,,,,
191,191,,,,,,,
192,192,,,,,,,
193,193,,,,,,,
194,194,,,,,,,
195,195,,,,,,,
196,196,,,,,,,
197,197,,,,,,,
198,198,,,,,,,
199,199,,,,,,,
200,200,,,,,,,
201,201,,,,,,,
202,202,,,,,,,
203,203,,,,,,,
204,204,,,,,,,
205,205,,,,,,,
206,206,,,,,,,
207,207,,,,,,,
208,208,,,,,,,
209,209,,,,,,,
210,210,,,,,,,
211,211,,,,,,,
212,212,,,,,,,
213,213,,,,,,,
214,214,,,,,,,
215,215,,,,,,,
216,216,,,,,,,
217,217,,,,,,,
218,218,,,,,,,
219,219,,,,,,,
220,220,,,,,,,
221,221,,,,,,,
222,222,,,,,,,
223,223,,,,,,,
224,224,,,,,,,
225,225,,,,,,,
226,226,,,,,,,
227,227,,,,,,,
228,228,,,,,,,
229,229,,,,,,,
230,230,,,,,,,
231,231,,,,,,,
232,232,,,,,,,
233,233,,,,,,,
234,234,,,,,,,
235,235,,,,,,,
236,236,,,,,,,
237,237,,,,,,,
238,238,,,,,,,
239,239,,,,,,,
240,240,,,,,,,
241,241,,,,,,,
242,242,,,,,,,
243,243,,,,,,,
244,244,,,,,,,
245,245,,,,,,,
246,246,,,,,,,
247,247,,,,,,,
248,248,,,,,,,
249,249,,,,,,,
250,250,,,,,,,
251,251,,,,,,,
252,252,,,,,,,
253,253,,,,,,,
254,254,,,,,,,
255,255,,,,,,,
256,256,,,,,,,
257,257,,,,,,,
258,258,,,,,,,
259,259,,,,,,,
260,260,,,,,,,
261,261,,,,,,,
262,262,,,,,,,
263,263,,,,,,,
264,264,,,,,,,
265,265,,,,,,,
266,266,,,,,,,
267,267,,,,,,,
268,268,,,,,,,
269,269,,,,,,,
270,270,,,,,,,
271,271,,,,,,,
272,272,,,,,,,
273,273,,,,,,,
274,274,,,,,,,
275,275,,,,,,,
276,276,,,,,,,
277,277,,,,,,,
278,278,,,,,,,
279,279,,,,,,,
280,280,,,,,,,
281,281,,,,,,,
282,282,,,,,,,
283,283,,,,,,,
284,284,,,,,,,
285,285,,,,,,,
286,286,,,,,,,
287,287,,,,,,,
288,288,,,,,,,
289,289,,,,,,,
290,290,,,,,,,
291,291,,,,,,,
292,292,,,,,,,
293,293,,,,,,,
294,294,,,,,,,
295,295,,,,,,,
296,296,,,,,,,
297,297,,,,,,,
298,298,,,,,,,
299,299,,,,,,,
300,300,,,,,,,
301,301,,,,,,,
302,302,,,,,,,
303,303,,,,,,,
304,304,,,,,,,
305,305,,,,,,,
306,306,,,,,,,
307,307,,,,,,,
308,308,,,,,,,
309,309,,,,,,,
310,310,,,,,,,
311,311,,,,,,,
312,312,,,,,,,
313,313,,,,,,,
314,314,,,,,,,
315,315,,,,,,,
316,316,,,,,,,
317,317,,,,,,,
318,318,,,,,,,
319,319,,,,,,,
320,320,,,,,,,
321,321,,,,,,,
322,322,,,,,,,
323,323,,,,,,,
324,324,,,,,,,
325,325,,,,,,,
326,326,,,,,,,
327,327,,,,,,,
328,328,,,,,,,
329,329,,,,,,,
330,330,,,,,,,
331,331,,,,,,,
332,332,,,,,,,
333,333,,,,,,,
334,334,,,,,,,
335,335,,,,,,,
336,336,,,,,,,
337,337,,,,,,,
338,338,,,,,,,
339,339,,,,,,,
340,340,,,,,,,
341,341,,,,,,,
342,342,,,,,,,
343,343,,,,,,,
344,344,,,,,,,
345,345,,,,,,,
346,346,,,,,,,
347,347,,,,,,,
348,348,,,,,,,
349,349,,,,,,,
350,350,,,,,,,
351,351,,,,,,,
352,352,,,,,,,
353,353,,,,,,,
354,354,,,,,,,
355,355,,,,,,,
356,356,,,,,,,
357,357,,,,,,,
358,358,,,,,,,
359,359,,,,,,,
360,360,,,,,,,
361,361,,,,,,,
362,362,,,,,,,
363,363,,,,,,,
364,364,,,,,,,
365,365,,,,,,,
366,366,,,,,,,
367,367,,,,,,,
368,368,,,,,,,
369,369,,,,,,,
370,370,,,,,,,
371,371,,,,,,,
372,372,,,,,,,
373,373,,,,,,,
374,374,,,,,,,
375,375,,,,,,,
376,376,,,,,,,
377,377,,,,,,,
378,378,,,,,,,
379,379,,,,,,,
380,380,,,,,,,
381,381,,,,,,,
382,382,,,,,,,
383,383,,,,,,,
384,384,,,,,,,
385,385,,,,,,,
